	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#pelo	0.03530051055378057	0.0	0.5242718446601942	30560.70963694972	0.026407273178233402	8	800	3	0.07311861071308362	minor	Un pelón	0.0	person	16	0	1	1	7	other	M	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	0.12727272727272726	bette014_Valle_Luces	55
#ujie	0.043238993710691835	0.0	0.47368421052631576	3586.20303862559	0.018343815513626835	3	300	3	0.02507910367691988	minor	ujier	0.0	person	243	2	1	6	34	other	M	3	0	0	0	0	1	0	0	0.05454545454545454	0.0	0.6181818181818182	bette014_Valle_Luces	55
#voz	0.05183763036385219	0.00649895178197065	0.5294117647058824	39011.304901945565	0.06381622959567892	9	900	3	0.08270948296959775	minor	La voz de un vecino	0.0072626534890685825	person	93	0	2	2	24	other	M	3	0	0	0	0	1	0	0	0.16363636363636364	0.00011816275967219364	0.43636363636363634	bette014_Valle_Luces	55
#gato	0.03530051055378057	0.0	0.5242718446601942	30560.709636949712	0.026407273178233395	8	800	3	0.07311861071308362	minor	gato	0.0	animal	14	0	1	1	60	other	M	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	1.0909090909090908	bette014_Valle_Luces	55
#fili	0.008769216567767319	0.0	0.4864864864864865	25990.620365916297	0.016456190409040648	5	500	3	0.06754553599086748	minor	Don Filiberto	0.0	person	4376	15	1	33	31	other	M	3	0	0	0	0	1	0	0	0.09090909090909091	0.0	0.5636363636363636	bette014_Valle_Luces	55
#max	0.5047886829249641	0.38574257096269665	0.8571428571428571	657712.8856916268	0.4411031245415003	45	4500	2	0.33993240248700907	primary	Max Estrella	0.3849788692555987	person	15813	96	11	278	1	protagonist	M	1	1	0	0	1	0	0	0	0.8181818181818182	0.007013501290230848	0.01818181818181818	bette014_Valle_Luces	55
#pica	0.03067394950806224	0.002236198462613557	0.5294117647058824	42114.139229824104	0.03998523872631179	9	900	3	0.08591896362225263	secondary	Pica lagartos	0.002236198462613557	person	1398	8	2	21	9	other	F	2	0	0	0	0	0	0	0	0.16363636363636364	4.065815386570103e-05	0.16363636363636364	bette014_Valle_Luces	55
#dieg	1.3601395807449174e-17	0.0	0.47368421052631576	3586.203038625591	0.018343815513626835	3	300	3	0.02507910367691988	minor	Dieguito	0.0	person	1780	9	1	18	33	other	M	3	0	0	0	0	1	0	0	0.05454545454545454	0.0	0.6	bette014_Valle_Luces	55
#clar	0.0757225864433737	0.01196632391600945	0.5806451612903226	246671.30890135712	0.07508261322443577	18	1800	3	0.20814065175592966	minor	Clarinito	0.011881468170776347	person	358	1	3	8	19	other	M	3	0	0	0	0	1	0	0	0.32727272727272727	0.00021756952574562637	0.34545454545454546	bette014_Valle_Luces	55
#llav	0.01949821844138872	0.0	0.47368421052631576	4808.736807001089	0.01705071521905176	3	300	3	0.02903879823284944	minor	El llavero	0.0	person	85	1	1	2	58	other	M	3	0	0	0	0	1	0	0	0.05454545454545454	0.0	1.0545454545454545	bette014_Valle_Luces	55
#coll	0.027803406858064872	0.0011480483178596386	0.5294117647058824	80785.6149111855	0.031396720042959875	9	900	3	0.11910891453418282	secondary	Madame Collet	0.0010981331736048714	person	1650	22	2	40	2	lover	F	2	0	1	0	0	0	0	1	0.16363636363636364	2.0873605779266157e-05	0.03636363636363636	bette014_Valle_Luces	55
#trap	0.030455721117872748	0.0	0.54	121169.8923108546	0.03028840130064001	11	1100	3	0.1458351288055262	minor	La trapera	0.0	person	46	0	1	1	43	other	F	3	0	0	0	0	1	0	0	0.2	0.0	0.7818181818181819	bette014_Valle_Luces	55
#chic	0.03756818696223606	0.002236198462613557	0.5294117647058824	42114.139229824104	0.03998523872631175	9	900	3	0.08591896362225263	minor	Un chico de taberna	0.002236198462613557	person	752	3	2	19	8	other	F	3	0	0	0	0	1	0	0	0.16363636363636364	4.065815386570103e-05	0.14545454545454545	bette014_Valle_Luces	55
#zara	0.028894733707752147	0.0	0.5242718446601942	30560.70963694972	0.026407273178233402	8	800	3	0.07311861071308362	secondary	Zaratustra	0.0	person	1131	8	1	17	5	other	M	2	0	0	0	0	0	0	0	0.14545454545454545	0.0	0.09090909090909091	bette014_Valle_Luces	55
#chica	0.028894733707752134	0.0	0.5242718446601942	30560.709636949712	0.026407273178233385	8	800	3	0.07311861071308362	minor	La chica de la portera	0.0	person	155	0	1	3	8	other	F	3	0	0	0	0	1	0	0	0.14545454545454545	0.0	0.14545454545454545	bette014_Valle_Luces	55
#alba	0.0352600537523941	0.0	0.54	121169.89231085457	0.03028840130064002	11	1100	3	0.1458351288055262	minor	Un albañil	0.0	person	164	0	1	3	41	other	M	3	0	0	0	0	1	0	0	0.2	0.0	0.7454545454545455	bette014_Valle_Luces	55
#veno	0.02764256289954716	0.0	0.54	147191.50883076954	0.0349028925312719	11	1100	3	0.160790661455729	minor	Un vecino	0.0	person	35	0	1	2	55	other	M	3	0	0	0	0	1	0	0	0.2	0.0	1.0	bette014_Valle_Luces	55
#clau	0.021684974926905586	0.0011480483178596386	0.5294117647058824	80785.61491118548	0.03139672004295992	9	900	3	0.11910891453418282	secondary	Claudinita	0.0010981331736048714	person	835	15	2	26	3	other	F	2	0	0	0	0	0	0	0	0.16363636363636364	2.0873605779266157e-05	0.05454545454545454	bette014_Valle_Luces	55
#dori	0.0800633565010979	0.01196632391600945	0.5806451612903226	246671.30890135712	0.07508261322443584	18	1800	3	0.20814065175592966	secondary	Dorio de Gadex	0.011881468170776347	person	3052	12	3	58	14	other	M	2	0	0	0	0	0	0	0	0.32727272727272727	0.00021756952574562637	0.2545454545454545	bette014_Valle_Luces	55
#port	0.10924330569227092	0.01722072476789458	0.5869565217391305	259255.35391063633	0.09103770023864681	19	1900	3	0.2133952922749726	minor	La portera	0.017170809623639812	person	1511	2	3	16	40	other	F	3	0	0	0	0	1	0	0	0.34545454545454546	0.0003131040866889924	0.7272727272727273	bette014_Valle_Luces	55
#pisa	0.10555385574810149	0.01900768693221523	0.5806451612903226	211788.99818956724	0.10972809893082512	18	1800	3	0.19285949307973196	secondary	Enriqueta la pisa bien	0.019007686932215228	person	3616	15	3	59	11	other	F	2	0	0	0	0	0	0	0	0.32727272727272727	0.00034559430785845874	0.2	bette014_Valle_Luces	55
#sere	0.09065053648833601	0.009548767095936906	0.5869565217391305	315290.8389009554	0.07587488163930634	19	1900	3	0.23534704092784825	minor	Un sereno	0.009548767095936907	person	418	2	2	14	23	other	M	3	0	0	0	0	1	0	0	0.34545454545454546	0.00017361394719885283	0.41818181818181815	bette014_Valle_Luces	55
#guin	0.02401661302357069	0.0	0.5142857142857142	44550.71079443349	0.02165199286043973	6	600	3	0.0884672537126885	minor	Un guindilla	0.0	person	117	0	1	2	56	other	M	3	0	0	0	0	1	0	0	0.10909090909090909	0.0	1.018181818181818	bette014_Valle_Luces	55
