	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#cieg	0.03220802705227967	0.0	0.6119402985074627	21683786.813958146	0.03408990282044286	15	1500	2	0.1538887977367336	minor	EL CIEGO DE GONDAR	0.0	person	1209	8	1	16	33	other	M	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.7857142857142857	bette044_Valle_Romance	42
#anso	0.0211413116919075	0.0	0.5540540540540541	8058790.538927828	0.03048411022457893	11	1100	3	0.09381483017481777	minor	ANDREÍÑA LA SORDA,	0.0	person	441	3	1	5	27	other	F	3	0	0	0	0	1	0	0	0.2619047619047619	0.0	0.6428571428571429	bette044_Valle_Romance	42
#morc	0.10433483930013758	0.050364625212186195	0.7735849056603774	49847805.1271911	0.11176921368776095	29	2900	2	0.233325610617503	minor	EL MORCEGO	0.050364625212186195	person	851	5	4	19	28	other	M	3	0	0	0	0	1	0	0	0.6904761904761905	0.0011991577431472904	0.6666666666666666	bette044_Valle_Romance	42
#farr	0.046645756705003455	0.00183317698561601	0.640625	28498446.288635876	0.04331753096426638	18	1800	2	0.17642083174112852	secondary	DON FARRUQUIÑO	0.00183317698561601	person	3213	33	5	60	6	other	M	2	0	0	0	0	0	0	0	0.42857142857142855	4.3647071086095476e-05	0.14285714285714285	bette044_Valle_Romance	42
#andr	0.06776566165091519	0.017910077727150895	0.6949152542372882	36073552.71197574	0.07025767773397315	23	2300	2	0.19848774097379782	minor	ANDREÍÑA	0.017910077727150902	person	2777	25	3	54	10	other	F	3	0	0	0	0	1	0	0	0.5476190476190477	0.0004264304220750213	0.23809523809523808	bette044_Valle_Romance	42
#gala	0.07442936051794881	0.025336370946127045	0.7068965517241379	38049800.98342578	0.07752146634258096	24	2400	2	0.2038523598899971	minor	DON GALÁN	0.025336370946127045	person	1043	5	3	24	7	other	M	3	0	0	0	0	1	0	0	0.5714285714285714	0.0006032469272887392	0.16666666666666666	bette044_Valle_Romance	42
#unav	0.028107675288644766	0.0005792682926829268	0.5616438356164384	9829145.546382101	0.03368282723987129	12	1200	3	0.1036084360127147	minor	Una Voz	0.0005792682926829269	non-human	281	0	2	7	43	other	O	3	0	0	0	0	1	0	0	0.2857142857142857	1.3792102206736353e-05	1.0238095238095237	bette044_Valle_Romance	42
#pobr	0.08018233465086975	0.026838202447958544	0.7592592592592593	50411688.58563438	0.0847206782608263	28	2800	2	0.2346415831047263	minor	EL POBRE DE SAN LÁZARO,	0.026838202447958544	person	3137	19	5	24	21	other	M	3	0	0	0	0	1	0	0	0.6666666666666666	0.0006390048201894891	0.5	bette044_Valle_Romance	42
#beni	0.04140410491022993	0.002578397212543554	0.6212121212121212	22778808.439436987	0.040245198767175305	16	1600	2	0.15772662735981294	minor	BENITA LA COSTURERA	0.0025783972125435536	person	3090	9	2	23	20	other	F	3	0	0	0	0	1	0	0	0.38095238095238093	6.139040982246558e-05	0.47619047619047616	bette044_Valle_Romance	42
#arte	0.03338343103323625	0.0	0.5466666666666666	5252859.258632989	0.028223593861032403	10	1000	3	0.07574105737935088	minor	ARTEMISA	0.0	person	691	5	1	11	31	other	F	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.7380952380952381	bette044_Valle_Romance	42
#pedr	0.026066226978986737	0.0	0.5616438356164384	8396778.62092999	0.02240935309128952	9	900	2	0.09576254436264879	secondary	DON PEDRITO	0.0	person	3221	34	3	53	2	antagonist	M	2	0	0	1	0	0	1	0	0.21428571428571427	0.0	0.047619047619047616	bette044_Valle_Romance	42
#rebo	0.07112922815983885	0.016298579469311177	0.6833333333333333	33170460.229552593	0.06799313931323456	22	2200	2	0.1903333927939017	minor	LA REBOLA	0.01629857946931118	person	467	6	2	13	11	other	F	3	0	0	0	0	1	0	0	0.5238095238095238	0.0003880614159359804	0.2619047619047619	bette044_Valle_Romance	42
#flor	0.03338343103323628	0.0	0.5466666666666666	5252859.258632989	0.028223593861032414	10	1000	3	0.07574105737935088	minor	Floriano	0.0	person	58	5	1	1	32	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.7619047619047619	bette044_Valle_Romance	42
